Date,Open,High,Low,Close*,Adj Close**,Volume
"Dec 09, 2005",10751.76,10805.95,10729.91,10778.58,10778.58,238930000.00
"Dec 08, 2005",10808.43,10847.25,10729.67,10755.12,10755.12,253290000.00
"Dec 07, 2005",10856.86,10868.06,10764.01,10810.91,10810.91,243490000.00
"Dec 06, 2005",10835.41,10936.20,10835.41,10856.86,10856.86,264630000.00
"Dec 05, 2005",10876.95,10876.95,10810.67,10835.01,10835.01,237340000.00
"Dec 02, 2005",10912.01,10921.37,10861.66,10877.51,10877.51,214900000.00
"Dec 01, 2005",10806.03,10934.90,10806.03,10912.57,10912.57,256980000.00
